pid,title,journal_title,journal_area,year,period_3,method_types,method_labels,causal_design_quotes,any_tough_call
S0104-62762010000100006,Informação política e atitudes sobre gastos governamentais e impostos no Brasil: evidências a partir de um experimento de opinião pública,Opinião Pública,Ciência Política,2010,2005-2011,experiment_survey,Experimento em survey,"“Um experimento embutido em uma pesquisa de opinião pública, desenhado especificamente para testar a hipótese de que informação política afeta as atitudes e posicionamentos individuais, foi conduzido no Brasil em novembro de 2004.”",FALSE
S0104-62762011000100006,"Participação política, efeitos e resultados em políticas públicas: notas crítico-analíticas",Opinião Pública,Ciência Política,2011,2005-2011,matching_or_weighting,Pareamento ou ponderação,"Partindo do princípio de que a única diferença relevante entre os municípios é a sua condição em relação à ausência e presença de instituições participativas, quaisquer diferenças entre os resultados e o desempenho observado entre os municípios pode ser associado à operação de instituições participativas.",TRUE
S1981-38212012000100070,Trust and Political Information: Attitudinal Change in Participants in the Youth Parliament in Brazil,Brazilian Political Science Review,Ciência Política,2012,2012-2018,difference_in_differences,Diferenças-em-diferenças,"""To answer this question, we used the method of ‘difference in difference.’ The variables used were derived by subtracting the values at time 1 (before the YP) from values at time 2 (after the YP took place) for each of the two groups (treatment and control).""",TRUE
S0011-52582012000400005,Articulações intrapartidárias e desempenho eleitoral no Brasil,Dados,Ciência Política e Ciências Sociais,2012,2012-2018,regression_discontinuity,Regressão descontínua,"Para identificar o efeito causal que a eleição de um prefeito pode ter sobre o desempenho de seu partido nas eleições para deputados estaduais e federais, utilizamos um modelo de regressão descontínua",FALSE
S1981-38212013000100003,Investigating elite behavior through field experiment in Brazil: do candidates answer more to core or swing voters?,Brazilian Political Science Review,Ciência Política,2013,2012-2018,experiment_field,Experimento de campo,This article is based on a field experiment conducted in the context of the 2008 Brazilian municipal election.,FALSE
S0104-62762013000200006,Impacto da educação cívica sobre o conhecimento político: a experiência do programa Parlamento Jovem de Minas Gerais,Opinião Pública,Ciência Política,2013,2012-2018,difference_in_differences,Diferenças-em-diferenças,"Os dados utilizados neste artigo fazem parte de um quase-experimento realizado com toda a coorte do Parlamento Jovem de Minas Gerais, edição de 2008, contando também com grupo de controle; o efeito é analisado pela variável ""Interação Participante x Tempo"".",TRUE
S0011-52582014000300817,"O Efeito das Emendas ao Orçamento no Comportamento Parlamentar e a Dimensão Temporal: Velhas Teses, Novos Testes",Dados,Ciência Política e Ciências Sociais,2014,2012-2018,instrumental_variables,Variáveis instrumentais,"""optamos por usar ou a execução do orçamento federal nos estados a que pertencem os deputados (instrumento externo), ou a defasagem da variável dependente em ordens suficientemente grandes""",FALSE
S0104-62762014000300363,Políticas de ação afirmativa e o experimento de listas: o caso das cotas raciais na universidade brasileira,Opinião Pública,Ciência Política,2014,2012-2018,experiment_list,Experimento de lista,"Um experimento de listas embutido em um questionário online convencional, com os respondentes designados aleatoriamente para o grupo-controle ou o grupo tratado.",FALSE
S1981-38212015000300003,Impact of Electronic Voting Machines on Blank Votes and Null Votes in Brazilian Elections in 1998,Brazilian Political Science Review,Ciência Política,2015,2012-2018,difference_in_differences,Diferenças-em-diferenças,"A simple way to ""isolate"" the effects of cities' socioeconomic levels is to compare the average amount of null and blank votes from 1998 to those from the same cities in the previous elections (1994), a technique known as difference-in-differences, or diff-in-diff.",TRUE
S1981-38212015000100135,The Impacts of Conditional Cash Transfers in Four Presidential Elections (2002&#8211;2014),Brazilian Political Science Review,Ciência Política,2015,2012-2018,matching_or_weighting,Pareamento ou ponderação,"This was done by matching beneficiaries to non-beneficiaries on gender, age, income, education, region, race (when available), and municipality's human development index (HDI-M) of respondents[3]. Matching was done using the genetic matching algorithm, developed by Diamond and Sekhon (2005).",TRUE
